,用户id,用户姓名,发表日期,国家,省份,市区,说说内容,积极情感分数,消极情感分数,积极情感均值,消极情感均值,积极情感方差,消极情感方差
9084,2088661600,娜姐,2017-03-27,中国,河南,信阳,你们谁拍的照片里有我快快扣扣发给我刘灵灵刘玉峰朱志超小五张传丽贾云飞黄明辉,0.0,0.0,0.0,0.0,0.0,0.0
9085,2088661600,娜姐,2017-03-26,中国,河南,信阳,我这样坏是不是很讨厌我不过没关系单纯的小女孩已经不在了是生活教我成长遇见的每个人都会给我启示一次次跌倒我却没能站起来在迷茫与现状中存活没有情感没有梦想犹如行尸走肉也许这就是消极的人生吧但总有那一道曙光引领我走向光明我不是他们的唯一但我的唯一是你谢谢你让我知道除这个伤心的世界还有你,44.0,1889.0,0.5,21.7,0.9,5.6
9086,2088661600,娜姐,2017-03-26,中国,河南,信阳,你给了我一支玫瑰所以我才有一整袋勇气,1.0,0.0,0.1,0.0,0.3,0.0
9087,2088661600,娜姐,2017-03-25,中国,河南,信阳,歌可以治愈我但唯独你可以让我笑对人生无论未来怎样我愿意陪你一起直到去往天堂亲爱的先生我们结婚吧,26.0,15.0,0.9,0.5,1.2,0.5
9088,2088661600,娜姐,2017-03-23,中国,河南,信阳,只愿每天看到你的笑还有你球迷的笑凯里欧文生日快乐,1.0,0.0,0.1,0.0,0.3,0.0
9089,2088661600,娜姐,2017-03-23,中国,河南,信阳,忽然发现你有心眼了,0.0,0.0,0.0,0.0,0.0,0.0
9090,2088661600,娜姐,2017-03-23,中国,河南,信阳,灵小妹你真的太善良了太单纯了太可爱了以至于我都喜欢上你了每天开开心心美丽依旧更要努力奋斗还要向阳哦我的向日葵,296.0,0.0,9.2,0.0,5.6,0.0
9091,2088661600,娜姐,2017-03-22,中国,河南,信阳,愿君和我共勉白头偕老,0.0,0.0,0.0,0.0,0.0,0.0
9092,2088661600,娜姐,2017-03-18,中国,河南,信阳,这样的天气有风容易把人吹倒,8.0,0.0,1.0,0.0,1.0,0.0
9093,2088661600,娜姐,2017-03-17,中国,河南,信阳,宝宝我想你们了,0.0,0.0,0.0,0.0,0.0,0.0
9094,2088661600,娜姐,2017-03-16,中国,河南,信阳,明天你们更要努力哦稳拿第一你们最棒,6.0,0.0,0.7,0.0,0.5,0.0
9095,2088661600,娜姐,2017-03-13,中国,河南,信阳,你个粘人的小妖精咋了不服我就要就要做你的小妖精吃了你呀,0.0,0.0,0.0,0.0,0.0,0.0
9096,2088661600,娜姐,2017-03-12,中国,河南,信阳,这个不听我话的小屁孩逗我笑了,0.0,0.0,0.0,0.0,0.0,0.0
9097,2088661600,娜姐,2017-03-10,中国,河南,信阳,正在考验着但确实经不起唉三年假的,6.0,5.0,0.6,0.5,0.5,0.5
9098,2088661600,娜姐,2017-03-10,中国,河南,信阳,这样的你正在做着惊天动地的事好虚伪,0.0,6.0,0.0,0.5,0.0,1.7
9099,2088661600,娜姐,2017-03-09,中国,河南,信阳,上上个星期日买的现在长成这样厉害了,0.0,0.0,0.0,0.0,0.0,0.0
